Time,Signal
255078ms,2149
255411ms,2149
255744ms,2114
256077ms,2114
256410ms,2103
256743ms,2103
257076ms,2103
257409ms,2149
257742ms,2149
258075ms,2149
258408ms,2083
258741ms,2083
259074ms,2083
259407ms,2080
259740ms,2080
260073ms,2080
260406ms,2172
260739ms,2172
261072ms,2114
261405ms,2114
261738ms,2114
262071ms,2069
262404ms,2069
262737ms,2069
263070ms,2184
263403ms,2184
263736ms,2184
264069ms,2172
264402ms,2172
264735ms,2069
265068ms,2069
265401ms,2069
265734ms,2092
266067ms,2092
266400ms,2092
266733ms,1956
267066ms,1956
267399ms,1956
267732ms,2080
268065ms,2080
268398ms,2080
268731ms,2069
269064ms,2069
269397ms,2069
269730ms,2125
270063ms,2125
270396ms,2125
270729ms,2137
271062ms,2137
271395ms,2103
271728ms,2103
272061ms,2103
272394ms,2080
272727ms,2080
273060ms,2080
273393ms,2160
273726ms,2160
274059ms,2160
274392ms,2114
274725ms,2114
275058ms,2114
275391ms,2069
275724ms,2069
276057ms,2137
276390ms,2137
276723ms,2137
277056ms,2128
277389ms,2128
277722ms,2128
278055ms,2092
278388ms,2092
278721ms,2092
279054ms,2092
279387ms,2092
279720ms,2092
280053ms,2114
280386ms,2114
280719ms,2069
281052ms,2069
281385ms,2069
281718ms,2069
282051ms,2069
282384ms,2069
282717ms,2137
283050ms,2137
283383ms,2137
283716ms,2092
284049ms,2092
284382ms,2092
284715ms,2103
285048ms,2103
285381ms,2184
285714ms,2184
286047ms,2184
286380ms,2137
286713ms,2137
287046ms,2137
287379ms,2092
287712ms,2092
288045ms,2092
288378ms,2114
288711ms,2114
289044ms,2114
289377ms,2092
289710ms,2092
290043ms,2080
290376ms,2080
290709ms,2080
291042ms,2092
291375ms,2092
291708ms,2092
292041ms,2125
292374ms,2125
292707ms,2125
293040ms,2114
293373ms,2114
293706ms,2114
294039ms,2137
294372ms,2137
294705ms,2151
295038ms,2151
295371ms,2151
295704ms,2080
296037ms,2080
296370ms,2080
296703ms,2172
297036ms,2172
297369ms,2172
297702ms,2197
298035ms,2197
298368ms,2103
298701ms,2103
299034ms,2103
299367ms,2092
299700ms,2092
300033ms,2092
300366ms,2092
300699ms,2069
301032ms,2069
301365ms,2092
301698ms,2092
302031ms,2092
302364ms,2069
302697ms,2069
303030ms,2069
303363ms,4012
303696ms,1702
304029ms,1702
304362ms,1702
304695ms,1996
305028ms,1996
305361ms,1996
305694ms,2048
306027ms,2048
306360ms,2048
306693ms,2125
307026ms,2125
307359ms,2125
307692ms,2059
308025ms,2059
308358ms,2059
308691ms,2048
309024ms,2048
309357ms,2048
309690ms,2048
310023ms,2048
310356ms,2048
310689ms,2092
311022ms,2092
311355ms,2092
311688ms,2037
312021ms,2037
312354ms,2019
312687ms,2019
313020ms,2019
313353ms,2080
313686ms,2080
314019ms,2080
314352ms,2027
314685ms,2027
315018ms,2027
315351ms,2006
315684ms,2006
316017ms,2006
316350ms,2048
316683ms,2048
317016ms,2048
317349ms,2092
317682ms,2092
318015ms,2092
318348ms,2037
318681ms,2037
319014ms,2037
319347ms,2048
319680ms,2048
320013ms,2048
320346ms,2092
320679ms,2092
321012ms,2092
321345ms,2092
321678ms,2092
322011ms,2048
322344ms,2048
322677ms,2048
323010ms,2059
323343ms,2059
323676ms,2059
324009ms,2114
324342ms,2114
324675ms,2114
325008ms,2092
325341ms,2092
325674ms,2092
326007ms,2080
326340ms,2080
326673ms,2114
327006ms,2114
327339ms,2114
327672ms,2048
328005ms,2048
328338ms,2048
328671ms,2037
329004ms,2037
329337ms,2037
329670ms,2092
330003ms,2092
330336ms,2092
330669ms,2039
331002ms,2039
331335ms,2039
331668ms,2037
332001ms,2037
332334ms,2037
332667ms,2092
333000ms,2092
333333ms,2092
333666ms,2092
333999ms,2048
334332ms,2048
334665ms,2048
334998ms,2027
335331ms,2027
335664ms,2027
335997ms,2080
336330ms,2080
336663ms,2080
336996ms,2016
337329ms,2016
337662ms,2016
337995ms,1846
338328ms,1846
338661ms,1846
338994ms,1956
339327ms,1956
339660ms,1956
339993ms,2027
340326ms,2027
340659ms,2027
340992ms,2048
341325ms,2048
341658ms,2048
341991ms,2092
342324ms,2092
342657ms,2092
342990ms,2149
343323ms,2149
343656ms,2114
343989ms,2114
344322ms,2114
344655ms,2092
344988ms,2092
345321ms,2092
345654ms,2137
345987ms,2137
346320ms,2137
346653ms,2103
346986ms,2103
347319ms,2103
347652ms,2050
347985ms,2050
348318ms,2027
348651ms,2027
348984ms,2027
349317ms,2059
349650ms,2059
349983ms,2059
350316ms,2006
350649ms,2006
350982ms,2006
351315ms,2006
351648ms,2006
351981ms,2006
352314ms,2069
352647ms,2069
352980ms,2069
353313ms,2016
353646ms,2016
353979ms,2016
354312ms,1976
354645ms,1976
354978ms,1976
355311ms,2037
355644ms,2037
355977ms,2037
356310ms,2016
356643ms,2016
356976ms,2016
